datetime,cpu,mem
Thu Oct 27 00:49:09 GMT 2022,19,1418390
Thu Oct 27 00:49:10 GMT 2022,4.4,1417879
Thu Oct 27 00:49:11 GMT 2022,4.4,1429027
Thu Oct 27 00:49:13 GMT 2022,4.4,1430320
Thu Oct 27 00:49:15 GMT 2022,4.4,1445496
Thu Oct 27 00:49:17 GMT 2022,60,1443474
Thu Oct 27 00:49:18 GMT 2022,60,1439704
Thu Oct 27 00:49:20 GMT 2022,60,1441641
Thu Oct 27 00:49:21 GMT 2022,60,1422725
Thu Oct 27 00:49:23 GMT 2022,50,1413738
Thu Oct 27 00:49:25 GMT 2022,50,1417266
Thu Oct 27 00:49:26 GMT 2022,50,1430425
Thu Oct 27 00:49:28 GMT 2022,0,1429794
Thu Oct 27 00:49:30 GMT 2022,0,1429978
Thu Oct 27 00:49:32 GMT 2022,0,1431669
Thu Oct 27 00:49:33 GMT 2022,56,1425958
Thu Oct 27 00:49:35 GMT 2022,56,1430309
Thu Oct 27 00:49:37 GMT 2022,56,1431540
Thu Oct 27 00:49:39 GMT 2022,-11,1429961
Thu Oct 27 00:49:41 GMT 2022,-11,1429602
Thu Oct 27 00:49:43 GMT 2022,-11,1431841
Thu Oct 27 00:49:45 GMT 2022,0,1430238
Thu Oct 27 00:49:48 GMT 2022,0,1427500
Thu Oct 27 00:49:49 GMT 2022,0,1448844
