datetime,cpu,mem
Wed Oct 26 23:46:27 GMT 2022,38,1404468
Wed Oct 26 23:46:29 GMT 2022,3.9,1326219
Wed Oct 26 23:46:30 GMT 2022,3.9,1392494
Wed Oct 26 23:46:32 GMT 2022,3.9,1409628
Wed Oct 26 23:46:33 GMT 2022,3.9,1426024
Wed Oct 26 23:46:34 GMT 2022,39,1437548
Wed Oct 26 23:46:35 GMT 2022,39,1445058
Wed Oct 26 23:46:37 GMT 2022,39,1458054
Wed Oct 26 23:46:38 GMT 2022,39,1491323
Wed Oct 26 23:46:39 GMT 2022,38,1498922
Wed Oct 26 23:46:41 GMT 2022,38,1515205
Wed Oct 26 23:46:42 GMT 2022,38,1527081
Wed Oct 26 23:46:44 GMT 2022,38,1540152
Wed Oct 26 23:46:45 GMT 2022,37,1550565
Wed Oct 26 23:46:47 GMT 2022,37,1564929
Wed Oct 26 23:46:48 GMT 2022,37,1577297
Wed Oct 26 23:46:50 GMT 2022,37,1590421
Wed Oct 26 23:46:51 GMT 2022,0,1600433
Wed Oct 26 23:46:53 GMT 2022,0,1619932
Wed Oct 26 23:46:55 GMT 2022,0,1635020
Wed Oct 26 23:46:56 GMT 2022,43,1493304
Wed Oct 26 23:46:58 GMT 2022,43,1425272
Wed Oct 26 23:47:00 GMT 2022,43,1426980
Wed Oct 26 23:47:01 GMT 2022,0,1421748
Wed Oct 26 23:47:03 GMT 2022,0,1495480
Wed Oct 26 23:47:04 GMT 2022,0,1496048
Wed Oct 26 23:47:06 GMT 2022,0,1497404
Wed Oct 26 23:47:07 GMT 2022,18,1495896
Wed Oct 26 23:47:09 GMT 2022,18,1495936
Wed Oct 26 23:47:10 GMT 2022,18,1494888
Wed Oct 26 23:47:12 GMT 2022,18,1422388
Wed Oct 26 23:47:13 GMT 2022,12,1420836
Wed Oct 26 23:47:15 GMT 2022,12,1420936
Wed Oct 26 23:47:16 GMT 2022,12,1428280
Wed Oct 26 23:47:18 GMT 2022,12,1485484
Wed Oct 26 23:47:19 GMT 2022,19,1484204
Wed Oct 26 23:47:20 GMT 2022,19,1484164
Wed Oct 26 23:47:22 GMT 2022,19,1451792
Wed Oct 26 23:47:24 GMT 2022,19,1464530
Wed Oct 26 23:47:25 GMT 2022,0,1483896
Wed Oct 26 23:47:27 GMT 2022,0,1519001
Wed Oct 26 23:47:29 GMT 2022,0,1483201
Wed Oct 26 23:47:31 GMT 2022,42,1497813
Wed Oct 26 23:47:33 GMT 2022,42,1497873
Wed Oct 26 23:47:35 GMT 2022,42,1496205
Wed Oct 26 23:47:36 GMT 2022,0,1460609
Wed Oct 26 23:47:38 GMT 2022,0,1460621
Wed Oct 26 23:47:39 GMT 2022,0,1452585
Wed Oct 26 23:47:41 GMT 2022,0,1453385
Wed Oct 26 23:47:42 GMT 2022,13,1447897
Wed Oct 26 23:47:44 GMT 2022,13,1438649
Wed Oct 26 23:47:45 GMT 2022,13,1438313
Wed Oct 26 23:47:47 GMT 2022,13,1439805
Wed Oct 26 23:47:48 GMT 2022,13,1438437
Wed Oct 26 23:47:50 GMT 2022,13,1438517
Wed Oct 26 23:47:51 GMT 2022,13,1438693
Wed Oct 26 23:47:53 GMT 2022,13,1440262
Wed Oct 26 23:47:54 GMT 2022,13,1438848
Wed Oct 26 23:47:56 GMT 2022,13,1438872
Wed Oct 26 23:47:57 GMT 2022,13,1439188
Wed Oct 26 23:47:59 GMT 2022,13,1440336
Wed Oct 26 23:48:00 GMT 2022,13,1437932
Wed Oct 26 23:48:02 GMT 2022,13,1437744
Wed Oct 26 23:48:03 GMT 2022,13,1435756
Wed Oct 26 23:48:05 GMT 2022,13,1437268
Wed Oct 26 23:48:06 GMT 2022,14,1435836
Wed Oct 26 23:48:08 GMT 2022,14,1431908
Wed Oct 26 23:48:09 GMT 2022,14,1431800
Wed Oct 26 23:48:11 GMT 2022,14,1433440
Wed Oct 26 23:48:12 GMT 2022,13,1432032
Wed Oct 26 23:48:14 GMT 2022,13,1432044
Wed Oct 26 23:48:15 GMT 2022,13,1432168
