datetime,cpu,mem
Wed Oct 26 23:37:39 GMT 2022,38,1367881
Wed Oct 26 23:37:40 GMT 2022,5.1,1366356
Wed Oct 26 23:37:41 GMT 2022,5.1,1387686
Wed Oct 26 23:37:43 GMT 2022,5.1,1387824
Wed Oct 26 23:37:44 GMT 2022,5.1,1393212
Wed Oct 26 23:37:45 GMT 2022,36,1394983
Wed Oct 26 23:37:47 GMT 2022,36,1391585
Wed Oct 26 23:37:48 GMT 2022,36,1392687
Wed Oct 26 23:37:49 GMT 2022,36,1411811
Wed Oct 26 23:37:51 GMT 2022,37,1410821
Wed Oct 26 23:37:52 GMT 2022,37,1411254
Wed Oct 26 23:37:54 GMT 2022,37,1411478
Wed Oct 26 23:37:55 GMT 2022,37,1412981
Wed Oct 26 23:37:56 GMT 2022,29,1411787
Wed Oct 26 23:37:58 GMT 2022,29,1411775
Wed Oct 26 23:37:59 GMT 2022,29,1411931
Wed Oct 26 23:38:00 GMT 2022,29,1413492
Wed Oct 26 23:38:02 GMT 2022,27,1412027
Wed Oct 26 23:38:03 GMT 2022,27,1412031
Wed Oct 26 23:38:05 GMT 2022,27,1412335
Wed Oct 26 23:38:06 GMT 2022,27,1413531
Wed Oct 26 23:38:08 GMT 2022,29,1412154
Wed Oct 26 23:38:09 GMT 2022,29,1412210
Wed Oct 26 23:38:11 GMT 2022,29,1412319
Wed Oct 26 23:38:12 GMT 2022,29,1413860
Wed Oct 26 23:38:14 GMT 2022,29,1413410
