datetime,cpu,mem
Wed Oct 26 23:31:30 GMT 2022,40,1383212
Wed Oct 26 23:31:31 GMT 2022,4.8,1384636
Wed Oct 26 23:31:32 GMT 2022,4.8,1429399
Wed Oct 26 23:31:34 GMT 2022,4.8,1418209
Wed Oct 26 23:31:35 GMT 2022,4.8,1421229
Wed Oct 26 23:31:36 GMT 2022,38,1421684
Wed Oct 26 23:31:38 GMT 2022,38,1420143
Wed Oct 26 23:31:39 GMT 2022,38,1421650
Wed Oct 26 23:31:40 GMT 2022,38,1420817
Wed Oct 26 23:31:42 GMT 2022,41,1398904
Wed Oct 26 23:31:43 GMT 2022,41,1401416
Wed Oct 26 23:31:44 GMT 2022,41,1401432
Wed Oct 26 23:31:45 GMT 2022,41,1404206
